RowIndex,Meteorology_Total,SMG_Total,Meteorology_ObjectNames,SMG_ObjectNames,Meteorology_Makers,SMG_Makers,Meteorology_organisations/institutions,SMG_organisations/institutions,Meteorology_Dates,SMG_Dates,Meteorology_Places,SMG_Places,Meteorology_Descriptions,SMG_Descriptions,Meteorology_Other,SMG_Other,Unique_to_Meteorology,Unique_to_SMG
0,31,12,3,2,3,1,1,1,5,1,1,1,15,3,3,3,"{""object_names"": [""PROPOSED FLYING MACHINE"", ""Aerial Steam Carriage"", ""proposed machine""], ""makers"": [""P. Y. Alexander, Esq."", ""C. H. M. A. Alderson, Esq."", ""J. Stringfellow""], ""organisations/institutions"": [], ""dates"": [""1922"", ""1907"", ""1842"", ""1844-5"", ""1847-48""], ""places"": [""Chard""], ""descriptions"": [""Scale 1: 7"", ""model, the design for which was patented in 1842 by Mr. W. S. Henson, was built in 1844-5 by Messrs. Henson and J. Stringfellow"", ""Henson's proposal to utilise the fixed surfaces of an aeroplane to obtain support from the air was regarded at the time as a possible solution of the problem of flight"", ""Henson's idea was to imitate soaring birds, all previous attempts being based on vibrating or rotating surfaces, after the manner of flapping wings"", ""intended that the actual machine should be used as a conveyer of letters, goods, and passengers"", ""model consists of an extended surface or aeroplane of oiled silk or canvas, stretched upon a bamboo frame made rigid by trussing, both above and below"", ""car is attached to the under side of the aeroplane to contain the steam engine, passengers, etc"", ""It has three wheels to run freely upon when it reaches earth"", ""Two propellers, 3 ft. diameter, are shown with their blades set at 45 degrees; they are operated by endless cords from the steam engine (see No. 40)"", ""Behind these is a fan-shaped tail, stretched upon a triangular frame capable of being opened out, closed, or moved up and down by means of cords and pulleys"", ""By this latter arrangement ascent or descent was to be accomplished"", ""A rudder for steering sideways is placed under the tail"", ""above the main aeroplane a sail (not shown) was to be stretched between two masts rising from the car, to assist in maintaining the course"", ""When in motion the front edge of the machine was to be raised in order to obtain the required air support"", ""To start the model it was proposed to allow it to run down an incline, e.g., the side of a hill, the propellers being first set in motion"", ""The velocity gained in the descent was expected to sustain it in its further progress, the engine overcoming the head resistance when in full flight"", ""Experiments were eventually made on the downs, near Chard, and the night trials were abandoned, as the silk became saturated from a deposit of dew"", ""After many day trials, down wide, inclined rails, the model was found to be deficient in stable equilibrium for open-air experiments, little puffs of wind or ground currents being sufficient to destroy the balance"", ""The actual machine was never constructed"", ""in 1847-48 J. Stringfellow built a model which is supposed to be the first flying machine which performed a successful flight"", ""dimensions of the model shown are 20 ft. from tip to tip of wings, by 3.5 ft. wide, giving 70 sq. ft. sustaining surface to the wings and about 10 sq. ft. in the tail"", ""Its weight is about 25 lb"", ""The actual machine was to weigh about 3,000 lb., with 4,500 sq. ft. surface in the wings and 1,500 in the tail"", ""A lithograph of the proposed machine is shown""], ""other"": [""Inv. 1907-29"", ""S.M. 312"", ""L.S.""]}","{""object_names"": [""Henson's Flying Machine model""], ""makers"": [""William Henson""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1843""], ""places"": [""Chard""], ""descriptions"": [""With stand and pieces of fabric"", ""Aeronautics model"", ""model""], ""other"": [""1843 Chard Henson, William Samuel""]}"
1,17,10,2,2,1,1,1,1,2,2,0,1,8,2,3,1,"{""object_names"": [""PORTIONS OF STRINGFELLOW'S FLYING MACHINE MODEL OF 1846-48"", ""Model""], ""makers"": [""Sir J. Heathcoat Amory, Bart."", ""P. Y. Alexander, Esq."", ""C. H. M. A. Alderson, Esq.""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1908"", ""1846""], ""places"": [], ""descriptions"": [""The model of which the wings, tail, engine and boiler are shown was constructed by Mr. J. Stringfellow in 1846, and was designed for indoor experiments."", ""The sustaining planes were shaped like the wings of a bird, and were slightly curved on the under side."", ""They were also feathered at the back edge, in order that the yielding of the feathers might automatically regulate the fore-and-aft stability."", ""It is stated that during the experiments the model rose after leaving the sustaining wire as much as 1 in 7, and that a free flight of about 40 yds. was eventually made with the model."", ""The sustaining surface was 17 sq. ft., and the planes measured 10 ft. over the tips."", ""The motive power was supplied by a steam engine placed inside a car between and underneath the wings."", ""It had a cylinder .75 in. diameter by 2 in. stroke."", ""The boiler was of the water-tube type as used by Henson, Stringfellow, and others, and consisted of inverted truncated cones arranged around and above the furnace."", ""The cones were connected with a central steam drum above them and with water chambers below."", ""Two four-bladed propellers 16 in. diameter were employed."", ""The propeller speed was increased in the ratio of 3 : 1 by bevel gear on the crank shaft."", ""The weight of the model, including the engine, was 6 lb., and with water and fuel, 6\u00b75 lb."", ""The engine and boiler, which have since been used to work a small lace machine, are not now in their correct relative position as used by Stringfellow.""], ""other"": [""S.M. 1403"", ""L.S"", ""Inv. 1908-44""]}","{""object_names"": [""burner cowling"", ""burner"", ""Aircraft Propulsion engines"", ""engines""], ""makers"": [""John Stringfellow""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1847-1848""], ""places"": [""Chard, Somerset, England""], ""descriptions"": [""Horizontal single cylinder slide-valve steam engine"", ""alcohol/naptha-fired burner"", ""John Stringfellow made the engine and boiler for a William Henson designed ten-foot wing-span model aircraft.""], ""other"": []}"
2,24,9,1,3,1,1,1,0,2,1,0,2,16,2,3,0,"{""object_names"": [""FLYING MACHINE MODEL""], ""makers"": [""Sir Hiram Maxim""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1922"", ""1896""], ""places"": [], ""descriptions"": [""Scale 1:12"", ""Plate I, No. 2"", ""complete model of the flying machine constructed and experimentally tried by Sir Hiram Maxim in 1894"", ""by its own effort it more than supported its weight and that of its crew"", ""It never soared aloft, however, as its rise was limited to a few inches only, by inverted rails"", ""an accident when running under these at a speed of 40 miles per hour brought the experiments to a premature conclusion"", ""The total weight of the machine was 7,700 lb."", ""it exerted in the trials a total lifting effort of 10,000 lb."", ""The machine consists of a braced structure of steel tubes and wires connected to large inclined surfaces, called aeroplanes"", ""possess a total area of 5,400 sq. ft."", ""slope at an angle of 7\u00b725 degrees with the horizontal"", ""The extreme width of the machine is 120 ft."", ""the length 104 ft."", ""It is propelled by two two-bladed screws, each 17\u00b783 ft. diameter by 16 ft. pitch"", ""driven by compound engines with cylinders 5 in. and 8 in. diameter by 12 in. stroke, making 375 revolutions per minute and exerting together 360 h.p."", ""The thrust from the two propellers working in the air is 2,000 lb., and the lifting effort is derived from this by the action of the aeroplanes."", ""Steam at 300 lb. pressure is supplied from a tubulous boiler of the Thornycroft type, fired by naphtha delivered under a pressure of 50 lb. as 7,650 spray jets through hollow firebars."", ""The boiler has a heating surface of 800 sq. ft. and a grate area of 30 sq. ft.; its weight is 900 lb., and with feed heaters, burners and water 1,200 lb.""], ""other"": [""Inv. 1896-98"", ""S.M. 313"", ""L.S.""]}","{""object_names"": [""Model of Maxim Flying machine"", ""Full size steam engine for flying machine"", ""Full size screw propeller for flying machine""], ""makers"": [""Sir Hiram Stevens Maxim""], ""organisations/institutions"": [], ""dates"": [""1892""], ""places"": [""Baldwyns Park, Bexley, England, United Kingdom"", ""Kent, England, United Kingdom""], ""descriptions"": [""Aeronautics model"", ""model""], ""other"": []}"
3,30,5,1,1,1,0,2,1,4,1,2,0,17,2,3,0,"{""object_names"": [], ""makers"": [""The Weiss Aeroplane and Launcher Syndicate, Ltd.""], ""organisations/institutions"": [""The Weiss Aeroplane and Launcher Syndicate, Ltd."", ""E.N.V.""], ""dates"": [""1922"", ""1905"", ""1908"", ""1910""], ""places"": [""London, E.C."", ""Paris"", ""Arundel""], ""descriptions"": [""model glider is a development of one shown at Paris in 1905 by Mr. Jos\u00e9 Weiss, and patented by him in 1908 in Great Britain"", ""designed with a view to obtain automatic stability"", ""glides were made from the top of a hill in a direction directly opposed to that of the wind"", ""gliding speed of the model in relation to the atmosphere was between 30 and 35 miles per hour"", ""monoplane constructed on the lines of the albatross"", ""framework consists of bamboo, the joints being made with tire cement and tarred twine"", ""main wings possess, at the middle, considerable thickness, and taper towards the tips, where they are flexible and flat"", ""characterised by a distinct change of angle of incidence from the fuselage to the tip"", ""Near the body the angle is greatest and is about 5 degrees, and from here it gradually decreases towards the wing tip"", ""tips themselves are upturned in such a way that they present a marked negative angle of incidence"", ""tail is provided"", ""in the model, which was launched by hand, a roll of lead formed the weight, which was slipped over a vertical rod at the junction of the main frame with the landing skids, in a position corresponding to the breast of a bird"", ""design of the glider gives it a large amount of automatic stability, both longitudinal and lateral"", ""much experimental work has been carried out near Arundel with this and subsequent man-carrying gliders"", ""power-driven machine constructed in 1910 on the lines of the model had a total sustaining surface of 185 sq. ft., with a span of 34 ft., and weighed, with the pilot, 750 lb."", ""notable feature of this machine was the absence of cross-bracing, the compression and tension members being both provided for by the bamboo triangulated framework"", ""lashings of tarred string were employed as on the gliders"", ""tail of the machine combined the functions both of elevator and rudder, and there was no control of the wings themselves in the hands of the pilot"", ""eight-cylinder E.N.V. engine of about 30 h.p. was fitted and drove a single tractor screw of 7 ft. diameter""], ""other"": [""Inv. 1912-102"", ""S.M. 1402"", ""L.S.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [""1908-1912""], ""places"": [], ""descriptions"": [""as patented in 1908"", ""Aeronautics model - representation; model - representation""], ""other"": []}"
4,25,6,1,1,1,0,2,1,3,0,3,0,11,2,4,2,"{""object_names"": [""WRIGHT FLYING MACHINE. (Scale 1: 10.)""], ""makers"": [""Messrs. T. W. K. Clarke & Co.""], ""organisations/institutions"": [""Messrs. Orville and Wilbur Wright"", ""U.S.A.""], ""dates"": [""1909"", ""1903"", ""1906""], ""places"": [""Dayton, Ohio"", ""Hunaudi\u00e8res"", ""Le Mans""], ""descriptions"": [""The early experiments of Messrs. Orville and Wilbur Wright, of Dayton, Ohio, were made with soaring machines, which were abandoned, however, in 1903 in favour of power-driven aeroplanes."", ""In 1906 the brothers took out a U.S.A. patent, claiming the essential features of their improved machine."", ""The model represents the biplane used by Mr. W. Wright on the racecourse of Hunaudi\u00e8res, near Le Mans, in the autumn of 1908."", ""It consists of two horizontal superposed planes, nearly rectangular in plan, the greater length being in a direction at right angles to the line of flight."", ""At the rear is a double vertical rudder for steering in a lateral direction, and in front of the main planes two smaller superposed horizontal planes serve to control the vertical flight path of the machine."", ""These front and rear rudders are nearly balanced, so that they can be easily moved by the control levers."", ""The small semi-circular plane between the elevators is connected with the rear rudders, and is designed to act exclusively as a tell-tale."", ""The aeroplane is mounted upon two wooden runners or skids, which extend forward and form supports for the front rudder."", ""The whole structure is braced with wooden struts and wire ropes, the vertical wooden struts between the main planes being spaced at about 6 ft. intervals."", ""The planes are constructed of cotton fabric, stretched over ribbed frames; in the model the port sides of the planes and the port rudder are uncovered in order to show the construction of the framing."", ""Two seats are shown, that on the left is for the aviator, the other one being for a passenger or pupil."", ""Only two levers are used by Mr. Wilbur Wright, one on either side, the one on his left being duplicated on the right-hand side of the passenger."", ""The left-hand lever controls the front rudder only, whilst the other one has two controls."", ""A fore-and-aft motion operates the rear rudder, and a motion sideways operates the plane-warping mechanism of the machine."", ""Side balance is maintained through the warping of the wings; moreover, it is stated that the vertical rudder is never used alone in changing the direction of the machine.""], ""other"": [""Plate II"", ""Inv. 1910-40"", ""S.M. 213"", ""L.S.""]}","{""object_names"": [""Model of Wright Biplane with starting derrick and rail"", ""wooden component from model""], ""makers"": [], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [], ""places"": [], ""descriptions"": [""starting derrick and rail"", ""unmarked""], ""other"": [""Aeronautics model"", ""model""]}"
5,9,10,1,3,1,2,1,1,1,1,0,1,3,2,2,0,"{""object_names"": [""VOISIN BIPLANE""], ""makers"": [""MM. Voisin Fr\u00e8res""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1922""], ""places"": [], ""descriptions"": [""Scale 1:10"", ""This is a model of the aeroplane constructed in 1908 by MM. Voisin Fr\u00e8res"", ""was the pioneer of the Farman biplane.""], ""other"": [""Inv. 1920-465"", ""S.M. 1380. L.S.""]}","{""object_names"": [""Voisin Aeroplane Model"", ""aircraft"", ""model""], ""makers"": [""Gabriel Voisin (1880-1973)"", ""Papault and Rouelle""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""circa 1908""], ""places"": [""France""], ""descriptions"": [""Model of Voisin Aeroplane"", ""Aeronautics aircraft""], ""other"": []}"
6,9,5,1,1,1,0,0,0,1,0,0,0,3,3,3,1,"{""object_names"": [], ""makers"": [""T. W. K. Clarke & Co."", ""Voisin Fr\u00e8res""], ""organisations/institutions"": [], ""dates"": [""1922"", ""1907"", ""1911""], ""places"": [], ""descriptions"": [""The first machine used by Henri Farman was made by Voisin Fr\u00e8res in 1907, and may be said to be the prototype of the highly successful Farman machine of to-day."", ""The vertical panel surfaces or side curtains of the box-kite form of biplane associated with the name of Voisin have disappeared, and in consequence the modern Farman machine is considerably lighter in appearance.""], ""other"": [""Plate IV."", ""Inv. 1911-109"", ""S.M. 258. L.S.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Military type"", ""Aeronautics model - representation; model - representation""], ""other"": []}"
7,20,18,2,2,1,2,1,1,3,2,3,4,7,5,3,2,"{""object_names"": [""BL\u00c9RIOT MONOPLANE. (Cross-Channel Type.)""], ""makers"": [""Messrs. T. W. K. Clarke & Co.""], ""organisations/institutions"": [""Meteorology Catalogue""], ""dates"": [""1901"", ""July, 1907""], ""places"": [""Calais"", ""Dover""], ""descriptions"": [""The earliest experiments of Mons. L. Bl\u00e9riot were made in 1901 with a flapping- wing machine which failed."", ""His first successful flight was accomplished in July, 1907, when the monoplane principle was adopted, and the steady development of this type of machine has resulted in the successful form shown by the model"", ""the most notable achievements of which were a cross-country flight of 25 miles, and the crossing of the English Channel from Calais to Dover on July 25th, 1909."", ""The model shown represents the machine known as No. XI, with which the Channel crossing was made."", ""It is of the single passenger type"", ""with the exception of the monoplane of M. Santos-Dumont (see No. 11)"", ""is the smallest which has met with any success.""], ""other"": [""Scale 1: 10"", ""Inv. 1910-34"", ""S.M. 186. L.S.""]}","{""object_names"": [""Model of Bleriot's Monoplane No. XI""], ""makers"": [""Barbara Mary Campbell"", ""Unknown maker""], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1962""], ""places"": [""Kingston-upon-Thames"", ""Greater London"", ""England"", ""United Kingdom""], ""descriptions"": [""With figure of Louis Bl\u00e9riot by Barbara Mary Campbell"", ""Aeronautics model - representation"", ""model - representation""], ""other"": [""scale 1.10"", ""unsigned""]}"
8,37,7,2,1,1,1,1,1,2,1,0,0,28,2,3,1,"{""object_names"": [""MONOPLANE"", ""Demoiselle""], ""makers"": [""Santos-Dumont""], ""organisations/institutions"": [""Museum""], ""dates"": [""1910"", ""1922""], ""places"": [], ""descriptions"": [""Scale 1: 10"", ""Made in the Museum, 1910"", ""As the lightest practical machine that has successfully flown the \u201cDemoiselle\u201d represented by the model is of considerable interest."", ""With it M. Santos-Dumont rose from the ground in the record time of 6\u00b72 secs., and attained the high speed of 60 miles per hour in free flight."", ""fabric which encloses the spars and bamboo ribs is double, and is formed of silk."", ""The leading and trailing edges of the planes are quite sharp, and are supported by wires held in claws at the ends of the bamboo ribs."", ""The fabric envelops the wire at the leading edge, but at the trailing edge it is laced to the wire, thus ensuring that the wings are stretched tightly."", ""The greatest camber of the planes is slightly in front of the centre and is approximately 4 in."", ""The tail is built up of fabric stretched on a bamboo frame, and moves as a whole about a universal joint formed at the after end of the chassis."", ""The lever on the right hand of the aviator elevates or depresses the tail, while the steering wheel moves it sideways, both the motions being controlled by steel wires kept taut by springs."", ""The lever at the back of the aviator controls the warping or flexing of the wings; it is attached at its upper end to his coat, so that by leaning over sideways in either direction the wings are warped as required."", ""The aviator sits beneath the engine, on a strip of canvas stretched between the two lower bamboos of the main frame."", ""The engine represented is a twin-cylinder Darracq motor of 25-30 h.p."", ""The cylinders are placed horizontally on opposite sides of the crank-case, and are 130 mm. (5\u00b712 in.) diam. by 120 mm. (4\u00b772 in.) stroke."", ""The engine is coupled directly to the propeller, which acts as a flywheel."", ""Water-cooling is employed, and the radiator, consisting of numerous small copper pipes, is placed beneath the main plane on each side."", ""The water enters the tubes from the cylinders at the top, and after traversing them is pumped back again."", ""The weight of the engine is taken at the centre by the central bamboo, and at the cylinder ends by the transverse spars of the main planes, which are themselves supported at these points by oval steel struts connected with the chassis."", ""In addition, two tie rods connect the engine at the rear with the top bamboo of the main frame."", ""The petrol tank is placed above the motor, and is shown on the model, but the water tank, which is also placed above the motor, is not represented."", ""The propeller, 6.66 ft. diameter, is of the Chauvi\u00e8re type built up in walnut, and makes 1,500 revolutions per minute."", ""Length over main planes, 18 ft.;"", ""breadth of planes, 6.4 ft.;"", ""total length of machine, 20 ft.;"", ""main supporting surface, 115 sq. ft.;"", ""aspect ratio, 2.8;"", ""total weight of machine without pilot, 242 lb.""], ""other"": [""S.M. 215"", ""L.S.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [""Science Museum Group Collections Online""], ""dates"": [""1909-1910""], ""places"": [], ""descriptions"": [""Model of Santos-Dumont's Monoplane 'Demoiselle'"", ""Aeronautics model - representation; model - representation""], ""other"": [""Inv. 1910-35""]}"
9,25,6,1,1,1,0,1,0,1,1,4,0,14,2,3,2,"{""object_names"": [], ""makers"": [""Messrs. Philipp Spandow, Ltd.""], ""organisations/institutions"": [""Germany"", ""Austria""], ""dates"": [""1911"", ""1908""], ""places"": [""Munich"", ""Berlin""], ""descriptions"": [""Type of monoplane represented, which, in Germany, is known by the name of \u201cRumpler\u201d or \u201cRumpler-Taube,\u201d and in Austria by the name of \u201cEtrich,\u201d was designed by Etrich and Wels in 1908."", ""The machine then built, named the \u201cEtrich Wels III,\u201d was very similar to the modern Etrich monoplane, so successful in Austria, excepting that it had a front elevating plane that has since been removed."", ""Both in Austria and in Germany this type of monoplane is greatly relied upon for military purposes, and many fine flights stand to its credit in both countries."", ""With a Rumpler monoplane Hirth won the first German reliability competition, and in 1911 flew from Munich to Berlin with the same type of machine."", ""The entire construction is on similar lines to those adopted by Lilienthal in his glider, and, on account of the general resemblance of the machine to a bird it was often called \u201cTaube\u201d or \u201cpigeon.\u201d"", ""The main frame of the machine consists of a central fuselage built of wood and entirely enclosed."", ""It is of trapezoidal section at the front, where it affords accommodation for seats for the pilot and passenger tandem fashion."", ""At the rear of the frame the transverse section changes into a triangular one."", ""The supporting planes are shaped like a bird's wings, and the entire rear edge is flexible."", ""The trailing edges of each plane or wings are curved upward at the tips, and this construction is stated to give great automatic stability."", ""The two wings are set at a small dihedral angle."", ""The main bracing of the wings consists of a single girder built of wood, placed laterally under the planes."", ""The latter are braced by a large number of stay wires, both above and below, and the method followed is similar to that adopted by Lilienthal."", ""The tail of the machine, which resembles that of a bird, extends from the after end of the fuselage, and consists of a horizontal and two vertical surfaces."", ""The control for the horizontal portion of the tail, i.e. the elevator, is by means of a column or vertical lever pivoted at its base to move backward and forward."", ""A forward push away from the pilot turns the tail down and elevates the machine."", ""The rudder consists of two triangular surfaces, one above and one below the elevator, and is operated by pedals."", ""Warping of the wings is accomplished by wire and pulley connections to a steering wheel mounted on the control column."", ""The landing chassis is of the Bl\u00e9riot type, and consists of two bicycle wheels at the front of the machine, together with a rear skid."", ""The wheels, except in the military type, can be steered while the machine is running over the ground."", ""Power is supplied by a four-cylinder, water-cooled motor of 70 h.p., built in the front of the fuselage, the radiators being on each side of the latter."", ""The principal dimensions of the monoplane are: Span of wings, 46 ft.; total length of machine, 34 ft.; speed, about 50 miles per hour.""], ""other"": [""Scale 1:10"", ""S.M. 353"", ""L.S.""]}","{""object_names"": [], ""makers"": [], ""organisations/institutions"": [], ""dates"": [], ""places"": [], ""descriptions"": [""Aeronautics models; aircraft; models; aircraft""], ""other"": [""Inv. 1913-442""]}"
